Rank,Company_Name,Headquarters,Founded_Year,CEO,Total_Employees,Revenue_USD_Millions,Market_Cap_USD_Billions,Primary_Product,Core_Technology,Industry_Vertical,Target_Market,Annual_RD_Spend_USD_Millions,Active_Users_Millions,AI_Model_Name,Model_Parameters_Billions,Training_Data_Petabytes,Cloud_Platform,API_Available,Open_Source_Model,Enterprise_Tier,Partnership_Count,Patent_Filed_2026,Awards_2026,Satisfaction_Score,Ethics_Rating,Sustainability_Score,Z_Score,Anomaly_Flag
11,xAI,San Francisco USA,2023,Elon Musk,420,280,25.0,Grok 3,Multi-modal Reasoning,Research & Social,Enterprise & Consumer,1500,85,Grok 3,2.0,450.0,X.AI Cloud,Yes,Partial,Premium/Enterprise,58,34,25,3.9,Medium,7.5,-0.33551772127115814,Normal
12,Alibaba Cloud AI,Hangzhou China,2017,Daniel Zhang,12000,8500,320.0,Qwen 3 Max,Mixture of Experts,Chinese NLP & AI,Asia Enterprise,5200,650,Qwen 3 Max,1.8,1800.0,Alibaba Cloud,Yes,Partial,Enterprise/Developer,185,156,42,4.1,High,8.0,1.1705976183749263,Normal
13,Baidu AI,Beijing China,2017,Robin Li,8500,6200,85.0,ERNIE 4.5,Knowledge-Enhanced LLM,Chinese AI Ecosystem,China Enterprise & Consumer,3800,520,ERNIE 4.5,1.5,1200.0,Baidu AI Cloud,Yes,Partial,Enterprise/Consumer,145,189,38,4.0,Medium,7.8,0.6007161385088403,Normal
14,ByteDance AI,Beijing China,2018,Liang Rubo,6800,9500,220.0,Doubao 2.0,Multi-modal LLM,Content & Social AI,Consumer & Enterprise,4200,780,Doubao 2.0,1.2,850.0,Volcano Engine,Yes,No,Enterprise/API,165,134,32,3.8,Medium,7.2,0.7635394184705792,Normal
15,Samsung AI,Suwon South Korea,2018,Jong-Hee Han,4200,5800,380.0,Gauss 2.0,On-Device + Cloud AI,Consumer Electronics,Consumer & Enterprise,3200,280,Gauss 2.0,0.7,450.0,Samsung Cloud,Yes,Partial,Consumer/Enterprise,125,198,45,4.2,High,8.5,0.35648121856623205,Normal
16,AI21 Labs,Tel Aviv Israel,2019,Ori Goshen,380,220,3.0,Jamba 2.0,Mamba + Transformer Hybrid,Efficient LLM,Enterprise & Developer,180,42,Jamba 2.0,1.0,150.0,AWS/AI21,Yes,Partial,Enterprise/Developer,35,22,12,4.1,High,7.8,-0.8728345451448964,Normal
17,Hugging Face,New York USA,2016,Clement Delangue,320,180,4.5,Transformers Library,Open Source Platform,ML Infrastructure,Developer & Research,120,1500,Community Models,1.45,,HF Inference,Yes,Yes,Free/Enterprise,280,12,28,4.5,Very High,9.2,-0.8972580371391572,Normal
18,Runway,New York USA,2018,Cristobal Valenzuela,280,150,4.0,Gen-4 Alpha,Video Generation AI,Creative Industry,Creator & Enterprise,180,55,Gen-4 Alpha,1.45,85.0,AWS,Yes,Partial,Creator/Enterprise,42,18,15,4.0,Medium,7.0,-0.8728345451448964,Normal
19,Midjourney,San Francisco USA,2021,David Holz,120,300,8.0,Midjourney v7,Diffusion Models,Image Generation,Creator & Professional,95,180,MJ v7,1.45,65.0,Discord API,No,No,Tiered Subscription,15,8,18,4.5,Medium,6.8,-0.907434492136766,Normal
20,Perplexity AI,San Francisco USA,2022,Aravind Srinivas,180,120,3.0,PPLX-7B,Search-Augmented Gen,AI Search Engine,Consumer & Enterprise,280,85,PPLX Online,1.45,,Custom Cloud,Yes,Partial,Pro/Enterprise,38,15,10,4.4,High,7.5,-0.8321287251544617,Normal
